Question,Answer
Where is iron most abundant?,"Iron, like many metals, is common in rocks where it forms a component of minerals. In Earth, it makes up most of the core."
What column is iron in?,Iron is in column 8.
What row is iron in?,Iron is in row 4.
What is iron's melting point?,"Iron's melting point is 1,538 degrees Celsius."
What is iron's boiling point?,"Iron's boiling point is 2,861 degrees Celsius."
What is iron's radius?,Iron's radius is 156 picometers.
What is unique about iron?,Iron is the last element that stars fuse in their cores before going supernova.
What is silver's atomic number?,Silver's atomic number is 47.
What group is silver in?,Silver is in group 11.
What period is silver in?,Silver is in period 5.
What is silver's atomic weight?,Silver's atomic weight is 107.87.
What is silver's state at room temperature?,Silver's state is solid at room temperature.
How many protons does silver have?,Silver has 47 protons.
How many neutrons does silver usually have?,Silver usually has 47 neutrons.
How many electrons does silver usually have?,Silver usually has 47 electrons.
What is silver's symbol?,Silver's symbol is Ag.
Where is silver most abundant?,"Silver, like many metals, is common in rocks where it forms a component of minerals. On Earth, it is considered a precious metal."
What column is silver in?,Silver is in column 11.
What row is silver in?,Silver is in row 5.
What is silver's melting point?,Silver's melting point is 961.78 degrees Celsius.
What is silver's boiling point?,"Silver's boiling point is 2,162 degrees Celsius."
What is silver's radius?,Silver's radius is 165 picometers.
What is unique about silver?,Silver has the highest electrical and thermal conductivity as well as reflectivity of any element.
What is cesium's atomic number?,Cesium's atomic number is 55.
What group is cesium in?,Cesium is in group 1.
What period is cesium in?,Cesium is in period 6.
What is cesium's atomic weight?,Cesium's atomic weight is 132.91.
What is cesium's state at room temperature?,Cesium's state is solid at room temperature.
How many protons does cesium have?,Cesium has 55 protons.
How many neutrons does cesium usually have?,Cesium usually has 55 neutrons.
How many electrons does cesium usually have?,Cesium usually has 55 electrons.
What is cesium's symbol?,Cesium's symbol is Cs.
Where is cesium most abundant?,"Cesium, like many metals, is common in rocks where it forms a component of minerals. It is a major component of toxic waste."
What column is cesium in?,Cesium is in column 1.
What row is cesium in?,Cesium is in row 6.
What is cesium's melting point?,Cesium's melting point is 28.4 degrees Celsius.
What is cesium's boiling point?,Cesium's boiling point is 670 degrees Celsius.
What is cesium's radius?,Cesium's radius is 265 picometers.
What is unique about cesium?,Cesium is the last element that stars fuse in their cores before going supernova.
What is hydrogen's atomic number?,Hydrogen's atomic number is 1.
What group is hydrogen in?,Hydrogen is in group 1.
What period is hydrogen in?,Hydrogen is in period 1.
What is hydrogen's atomic weight?,Hydrogen's atomic weight is 1.01.
What is hydrogen's state at room temperature?,Hydrogen's state is gas at room temperature.
How many protons does hydrogen have?,Hydrogen has 1 proton.
How many neutrons does hydrogen usually have?,Hydrogen usually has 0 neutrons.
How many electrons does hydrogen usually have?,Hydrogen usually has 1 electron.
What is hydrogen's symbol?,Hydrogen's symbol is H.
Where is hydrogen most abundant?,Hydrogen is most abundant in stars.
What column is hydrogen in?,Hydrogen is in column 1.
What row is hydrogen in?,Hydrogen is in row 1.
What is hydrogen's melting point?,Hydrogen's melting point is -259.1 degrees Celsius.
What is hydrogen's boiling point?,Hydrogen's boiling point is -252.9 degrees Celsius.
What is hydrogen's radius?,Hydrogen's radius is 53 picometers.
What is unique about hydrogen?,"It's the most abundant element in the universe, making up over 75% of all matter."
Is pure hydrogen common in our atmosphere?,"No, pure hydrogen is not common in our atmosphere. The concentration of hydrogen gas (H2) in the Earth's atmosphere is very low, about 0.55 part per million by volume."
What is the Sun made of?,By mass the composition of the sun is 92.1% hydrogen and 7.9% helium.
What is the main component of Jupiter?,Hydrogen is the main component of Jupiter and the other gas giant planets.
How does the hydrogen bomb work?,"The hydrogen bomb, or H-bomb, is powered by nuclear fusion. Deuterium and tritium (hydrogen isotopes) are fused into helium, thereby releasing energy. "
Can hydrogen be used as fuel?,"Yes, hydrogen is used as rocket fuel. It can also power fuel cells to generate electricity."
What is a fuel cell?,A fuel cell converts hydrogen to electricity. The hydrogen fuel is combined with oxygen in the air to make H2O (water) and release energy.
How many isotypes do hydrogen have?,"Hydrogen has three common isotopes – protium, deuterium and tritium."
Why is there so little hydrogen gas in the earth atmosphere?,It is too light and escapes gravity quickly.
Is hydrogen common used in ballons?,"No, it is too combustible and unsafe."
Where is hydrogen found on earth?,The most common place to find hydrogen on earth is in water (H2O)
How is hydrogen used?,"Hydrogen is used to make ammonia for fertilizers, refining metals, and methanol for making artificial material like plastics."
How does hydrogen taste?,"Hydrogen is odourless, colourless and tasteless. And is undetectable by human senses."
What is the energy source of the Sun?,In the core of the Sun hydrogen is being converted into helium. This is called nuclear fusion.
What's special about the hydrogen atom?,Hydrogen is the only element that can exist without neutrons.
Is liquid hydrogen very cold?,"Yes, it is below -252.9 degrees Celsius. It is very cold."
What is Mercury?,Mercury is a silver colored metal that is liquid at room temperature. It has an atomic number of 80 on the periodic table. It has a melting point of -38.83 C (-37.89 F) and it is toxic to humans.
What is mercury's atomic number?,The atomic number of mercury is 80
What group is mercury in?,"Mercury (Hg) is located in Group 12, also known as the zinc group, on the periodic table. This group is located in the d-block, specifically in Period 6. Other elements in Group 12 include zinc (Zn), cadmium (Cd), and copernicium (Cn). Mercury is the only liquid at room temperature among the elements in this group."
What period is mercury in?,"Mercury (Hg) is located in Period 6 of the periodic table. The periods in the periodic table represent the number of electron shells or energy levels that an element's atoms have. Since mercury is in Period 6, it means that its atoms have six electron shells or energy levels. Other elements in Period 6 include elements like lead (Pb), gold (Au), and polonium (Po)."
What is mercury's atomic weight?,The atomic weight of Mercury is approximately 200.59 atomic mass units.
What is mercury's state at room temperature?,Mercury's state is liquid at room temperature. Its melting point is -38.83 C (-37.89 F) and boiling point is 357 C (674 F). That means it is liquid at room temperature of 20 C (68 F).
How many protons does mercury have?,A mercury atom has 80 protons. That corresponds to its atomic number 80.
How many neutrons does mercury usually have?,"The number of neutrons in a mercury atom can vary depending on the isotope of mercury. The most common isotope of mercury, known as mercury-202 (Hg-202), has 80 protons and 122 neutrons. However, there are other isotopes of mercury that have different numbers of neutrons. For example, mercury-201 (Hg-201) has 80 protons and 121 neutrons, while mercury-200 (Hg-200) has 80 protons and 120 neutrons. These varying isotopes of mercury exist due to differences in the number of neutrons in the nucleus of the atom."
How many electrons does mercury usually have?,"A mercury atom has 80 electrons, which is the same as its protons and atomic number."
What is mercury's symbol?,"The chemical symbol for mercury is Hg, which comes from its Latin name ""hydrargyrum,"" meaning ""liquid silver."""
Where is mercury most abundant?,"Mercury is a naturally occurring element, but it is relatively rare in Earth's crust. It is not abundant in any specific region or country. However, mercury can be found in small amounts throughout the world, primarily in cinnabar ore deposits. The largest reserves of mercury are located in China, Kyrgyzstan, and Russia. It is also produced as a byproduct of mining and refining other metals, such as gold and silver. Additionally, mercury is released into the environment through human activities, such as coal burning and industrial processes."
What column is mercury in?,"Mercury (Hg) is located in Column 12 of the periodic table. This column is known as Group 12 or the zinc group. Elements in this column share similar chemical properties, as they have the same number of valence electrons. Other elements in Group 12 include zinc (Zn), cadmium (Cd), and copernicium (Cn)."
What row is mercury in?,"Mercury (Hg) is located in Row 6 of the periodic table. The rows, or periods, in the periodic table represent the number of electron shells or energy levels that an element's atoms have. Since mercury is in Row 6, it means that its atoms have six electron shells or energy levels. Other elements in Row 6 include elements like lead (Pb), gold (Au), and polonium (Po)."
What is mercury's melting point?,Mercury's melting point is -38.83 degrees Celsius or -37.89 degrees Fahrenheit
What is mercury's boiling point?,Mercury's boiling point is 357 degrees Celsius or 674 degrees Fahrenheit
What is mercury's radius?,"The atomic radius of mercury (Hg) depends on the reference point used. However, as an estimate, the atomic radius of mercury is typically reported to be around 150 picometers (pm) or 1.5 angstroms (Å). It's worth noting that atomic radii can vary slightly depending on the specific measurement method or the way it is defined in different contexts."
Is all metal solid at room temperature?,No. Mercury is liquid at room temperature as its melting point is -38.83 C (-37.89 F) and boiling point is 357 C (674 F).
Is Mercury the only Liquid Metal at room temperature?,"No, mercury is not the only liquid metal at room temperature. There are several other metals that are also in liquid state at or around room temperature. Some examples include gallium, cesium, and francium. It is worth noting that these metals have very low melting points, which allows them to be liquid at typical room temperatures."
What is unique about mercury?,"Mercury has several unique properties. It is a good conductor of electricity and is one of the few metals that are liquid at room temperature. It has a melting point of -38.83 C (or -37.89 F), which is below room temperature. It also has a high density, which is about 13.5 times denser than water."
Is mercury a metal?,"Yes, mercury is a heavy, silvery-white metal. It is the only metal that exists as a liquid at room temperature."
What are some common uses of mercury?,"Mercury has various applications, including its use in thermometers, barometers, electrical switches, dental fillings, and fluorescent lights. It has also been used historically in industries such as gold mining and as an ingredient in certain pharmaceutical products."
Is mercury toxic?,"Yes, mercury is toxic to humans and animals. Exposure to high levels of mercury can have harmful effects on the nervous system, kidneys, and other organs. It is important to handle and dispose of mercury safely to prevent environmental contamination and health hazards."
How does mercury behave differently from other metals?,"One unique property of mercury is its low melting point (-38.83 degrees Celsius or -37.89 degrees Fahrenheit) and boiling point (357 degrees Celsius or 674 degrees Fahrenheit). This makes it the only metal that is liquid at room temperature. Mercury also has high surface tension, allowing it to form droplets and easily separate from other materials."
Where is mercury found in nature?,"Mercury is found in small quantities throughout the Earth's crust. It is primarily obtained by mining cinnabar ore, which is the most common source of mercury. It can also be found in trace amounts in certain minerals and fossil fuels."
Is mercury still used in thermometers?,"Mercury thermometers have been phased out in many countries due to environmental concerns. Digital thermometers and non-mercury alternatives, such as alcohol-based or digital thermometers, are typically used instead."
How does mercury react with other substances?,"Mercury does not react with most acids, alkalis, or common gases at room temperature. However, it can form compounds with certain elements, such as sulfur, oxygen, and halogens, under specific conditions."
Is there more than one form of mercury?,"Yes, there are several forms or phases of mercury. The most common form is elemental or metallic mercury, which is a liquid at room temperature. Another form is mercury vapor, which is a gas that can be produced by heating or evaporation. In addition, there are various mercury compounds with distinct chemical properties."
How is mercury measured?,"The measurement of mercury is typically done using different units. Common units include milligrams per kilogram (mg/kg) for environmental samples, parts per billion (ppb) or parts per million (ppm) for air and water samples, and micrograms per liter (µg/L) for blood or urine samples."
What are the environmental concerns associated with mercury?,"Mercury is a significant environmental pollutant, primarily due to its release from industrial processes, coal burning, and improper disposal of mercury-containing products. It can accumulate in ecosystems, leading to contamination of water, air, soil, and the food chain. This can have harmful effects on wildlife and humans."
How is mercury disposed of properly?,"Proper disposal of mercury is crucial to prevent environmental contamination. It should not be thrown in the trash. Instead, contact your local hazardous waste facility or follow specific guidelines set by your region for the safe collection and disposal of mercury-containing products."
Are there any natural sources of elemental mercury?,"Yes, small amounts of elemental mercury can be released naturally into the environment through volcanic activity, weathering of rocks, and the breakdown of organic matter. However, human activities are the primary source of elevated mercury levels in the environment."
Where does the name Mercury come from?,"The element was named after the Roman god Mercury, known for his speed and agility."
Does Mercury rust when exposed to oxygen in the air?,"Mercury, as a liquid metal, does not naturally combine with oxygen in the same way as other elements. Under normal conditions, mercury does not readily react with oxygen in the atmosphere. "
Where is Mercury used in household items?,"Mercury is used in older thermometers, fluorescent light bulbs and some electrical switches."
Why is it dangerous to break a mercury thermostat?,"Mercury is highly toxic to humans. It is liquid in room temperature and can easily spread. When dropped, elemental mercury breaks into smaller droplets which can go through small cracks or become strongly attached to certain materials."
Can Mercury exist in gas form at room temperature?,"Mercury can exist as vapor gas in room tempature. At room temperature, exposed elemental mercury can evaporate to become an invisible, odorless toxic vapor. If heated, it is a colorless, odorless gas."
Could Mercury pollute the air?,"Yes, the burning of coal, oil and wood as fuel can cause mercury to become airborne, as can burning wastes that contain mercury."
How does Mercury in the air pollute the ground?,"This airborne mercury can fall to the ground in raindrops, in dust, or simply due to gravity (known as “air deposition”). The amount of mercury deposited in a given area depends on how much mercury is released from local, regional, national, and international sources."
"In the United States, what is the greatest source of Mercury pollution?","In the United States, power plants that burn coal to create electricity are the largest source of emissions; they account for about 44 percent of all manmade mercury emissions"
Is Mercury salt used in everyday consumer products?,"Yes, Mercuric chloride is used in photography and as a topical antiseptic and disinfectant, wood preservative, and fungicide."
Is Mercury salt used in medical products?,"In the past, mercurous chloride was widely used in medicinal products, including laxatives, worming medications, and teething powders. It has since been replaced by safer and more effective agents."
Does vaccines contain Mercury?,"Sometimes. Thimerosal is a compound that contains mercury. Because it prevents the growth of dangerous microbes, thimerosal is used as a preservative in multi-dose vials of flu vaccines, and in two other childhood vaccines, it is used in the manufacturing process."
Which occupations have high risk of Mercury exposure?,"Occupations with higher risk of exposure to mercury and its salts include mining, electrical equipment manufacturing, and chemical and metal processing in which mercury is used."
Is there an organic form of Mercury?,"Yes, Methylmercury is the most common organic mercury compound found in the environment, and is highly toxic."
can I freeze mercury solid?,"Yes. With a melting point of -38.83 C (-37.89 F), you can freeze Mercury solid with dry ice."
How is Mercury toxic?,"Mercury is a neurotoxin. It damages the neural system, especially in young chidlren. Mercury exposure at high levels can harm the brain, heart, kidneys, lungs, and immune system of people of all ages."
How does Mercury get into human bodies? ,Mercury can vaporize in room temperature. Metallic mercury mainly causes health effects when inhaled as a vapor where it can be absorbed through the lungs. 
How do you detect Mercury poisoning?,Mercury can be detected through a blood test.
Can I be exposed to Mercury from house paint?,"Yes, the US EPA permits interior latex paint to contain less than or equal to 300 ppm elemental mercury and exterior latex paint to contain less than or equal to 2000 ppm. However, neither the presence nor the concentration of mercury in the paint is required to be labeled on the paint can."
